iter	Passed	Remaining
432	1625	2128
433	1627	2122
434	1630	2118
435	1632	2111
436	1636	2108
437	1640	2104
438	1644	2101
439	1649	2099
440	1650	2092
441	1657	2092
442	1663	2091
443	1674	2096
444	1680	2096
445	1687	2095
446	1692	2093
447	1697	2091
448	1702	2088
449	1707	2086
450	1712	2084
451	1716	2081
452	1723	2080
453	1728	2078
454	1733	2076
455	1739	2075
456	1744	2073
457	1749	2070
458	1755	2068
459	1757	2062
460	1762	2060
461	1767	2057
462	1770	2053
463	1776	2051
464	1783	2051
465	1788	2049
466	1793	2046
467	1797	2043
468	1802	2040
469	1806	2037
470	1811	2034
471	1815	2030
472	1820	2028
473	1824	2025
474	1829	2022
475	1834	2019
476	1839	2016
477	1840	2009
478	1845	2007
479	1850	2004
480	1851	1997
481	1855	1994
482	1857	1988
483	1861	1984
484	1866	1982
485	1871	1978
486	1875	1975
487	1879	1971
488	1884	1969
489	1888	1965
490	1890	1959
491	1894	1956
492	1899	1953
493	1903	1949
494	1907	1945
495	1911	1941
496	1915	1938
497	1918	1934
498	1922	1930
499	1926	1926
500	1929	1921
501	1933	1917
502	1934	1911
503	1936	1905
504	1939	1901
505	1943	1897
506	1946	1892
507	1948	1887
508	1952	1883
509	1953	1876
510	1955	1871
511	1957	1865
512	1961	1861
513	1965	1858
514	1969	1855
515	1973	1851
516	1978	1847
517	1979	1842
518	1983	1838
519	1985	1833
520	1989	1829
521	1992	1824
522	1996	1820
523	2000	1816
524	2003	1813
525	2007	1809
526	2011	1805
527	2015	1801
528	2019	1797
529	2023	1794
530	2026	1790
531	2029	1785
532	2032	1781
533	2036	1777
534	2040	1773
535	2044	1769
536	2048	1765
537	2051	1762
538	2055	1758
539	2059	1754
540	2063	1750
541	2065	1745
542	2069	1741
543	2073	1737
544	2076	1733
545	2080	1730
546	2084	1726
547	2087	1721
548	2092	1719
549	2097	1715
550	2100	1711
551	2102	1706
552	2106	1702
553	2110	1699
554	2114	1695
555	2118	1691
556	2122	1687
557	2126	1684
558	2130	1680
