iter	RMSE
394	9212.495452
395	9206.638373
396	9200.81066
397	9195.8232
398	9189.820792
399	9184.275867
400	9178.817517
401	9172.57645
402	9167.210922
403	9161.172593
404	9155.100252
405	9149.23961
406	9143.934004
407	9137.688397
408	9132.048718
409	9126.510043
410	9120.394768
411	9114.5235
412	9108.698649
413	9103.09776
414	9097.45857
415	9092.060768
416	9086.664112
417	9080.572901
418	9075.019823
419	9069.190227
420	9063.27925
421	9057.78152
422	9052.420698
423	9047.001396
424	9041.614912
425	9036.832606
426	9031.410657
427	9026.096616
428	9021.29659
429	9016.052534
430	9010.256738
431	9004.807766
432	8999.666499
433	8993.642588
434	8988.400596
435	8982.714232
436	8976.874942
437	8970.987746
438	8965.847242
439	8960.886158
440	8954.705967
441	8948.849795
442	8943.907026
443	8938.627023
444	8932.818477
445	8928.104624
446	8922.233388
447	8917.091305
448	8911.659977
449	8906.515342
450	8900.930589
451	8895.663759
452	8890.275876
453	8884.679571
454	8879.589133
455	8874.068462
456	8868.143583
457	8862.873243
458	8857.698577
459	8851.624931
460	8846.749317
461	8841.989958
462	8836.165247
463	8830.789216
464	8825.380885
465	8819.5817
466	8814.658549
467	8809.525329
468	8804.294264
469	8799.252754
470	8793.404824
471	8788.501444
472	8784.170292
473	8778.743881
474	8774.049959
475	8769.039055
476	8763.256117
477	8757.869184
478	8752.994783
479	8747.98013
480	8742.491952
481	8737.745628
482	8732.039837
483	8726.962291
484	8721.393882
485	8716.432994
486	8710.741705
487	8705.872659
488	8700.783871
489	8695.319035
490	8689.398796
491	8684.431511
492	8679.129371
493	8673.975087
494	8669.312664
495	8663.81402
496	8658.603927
497	8653.158145
498	8647.749688
499	8642.67196
500	8637.605454
501	8632.524811
502	8627.227093
503	8621.517509
504	8616.515264
505	8611.553962
506	8606.362583
507	8601.111699
508	8596.387747
509	8590.541362
510	8585.333001
511	8579.846282
512	8574.510148
513	8569.468535
514	8564.247136
515	8559.533233
516	8554.2468
517	8548.836317
518	8544.027948
519	8538.997802
520	8533.629049
521	8528.539465
522	8523.048263
523	8517.468996
524	8512.354139
525	8507.260966
526	8502.771832
527	8497.713537
528	8492.498526
529	8487.502694
530	8482.325658
531	8476.90929
532	8471.758885
533	8466.739801
534	8461.891246
535	8457.474376
536	8452.134144
537	8447.208603
538	8442.336954
539	8436.779544
540	8431.586771
541	8426.70212
542	8421.97381
543	8416.993802
544	8412.093851
545	8407.628162
546	8403.266296
547	8398.025213
548	8393.071478
549	8388.437215
550	8383.614532
551	8378.618892
552	8374.034042
553	8369.42882
554	8364.265742
555	8359.459606
556	8354.469459
557	8349.516386
558	8344.364374
559	8339.975747
560	8334.933518
561	8330.007855
562	8324.800616
563	8319.845364
564	8315.081271
565	8309.742142
566	8304.481655
567	8300.033997
568	8295.488057
569	8291.043946
570	8285.854815
571	8281.631131
572	8276.654097
573	8271.804282
574	8267.122289
575	8262.400619
576	8257.192758
577	8252.493018
578	8248.350013
579	8243.748449
580	8238.645714
581	8233.603644
582	8228.298626
583	8223.728689
584	8218.586717
585	8214.186955
586	8209.6947
587	8205.118228
588	8199.977959
589	8195.623852
590	8191.482647
591	8186.64612
592	8182.719234
593	8178.418496
594	8173.624623
595	8169.233689
596	8164.341606
597	8160.001677
598	8155.037906
599	8150.25284
600	8145.758589
601	8140.739659
602	8135.957699
603	8131.212921
604	8127.123539
605	8122.480691
606	8117.864838
607	8113.333225
608	8109.118881
609	8104.799241
610	8099.977847
611	8095.008621
612	8090.749868
613	8086.021247
614	8081.212623
615	8076.34371
616	8071.436376
617	8066.760957
618	8062.105879
619	8057.646788
620	8053.078
621	8048.946898
622	8044.117426
623	8039.963623
624	8035.635425
625	8030.84252
626	8026.371928
627	8021.593768
628	8016.912204
629	8012.378548
630	8007.946598
631	8003.780801
632	7999.231554
633	7994.374179
634	7990.377124
635	7986.847702
636	7982.442161
637	7978.032275
638	7973.97072
639	7970.011335
640	7965.172206
641	7960.967967
642	7956.031921
643	7952.071067
644	7947.710905
645	7942.798336
646	7938.153098
647	7933.074597
648	7928.645311
649	7924.205666
650	7919.608112
651	7915.903052
652	7911.194042
653	7907.062213
654	7902.19229
655	7897.579485
656	7893.059325
657	7888.460775
658	7883.537871
659	7879.220902
660	7875.01609
661	7871.033393
662	7866.699845
663	7862.86302
664	7859.018789
665	7855.305974
666	7850.711016
667	7846.069315
668	7841.205118
669	7836.613658
670	7832.400219
671	7828.078152
672	7823.893967
673	7819.522201
674	7815.114435
675	7811.002412
676	7806.517052
677	7802.616454
678	7798.628851
679	7794.518057
680	7790.022393
681	7785.979646
682	7781.8119
683	7777.404841
684	7772.647351
685	7768.214025
686	7764.414275
687	7759.967167
688	7756.173543
689	7751.71175
690	7747.836558
691	7743.638007
692	7739.245111
693	7735.014965
694	7731.113498
695	7726.826037
696	7722.617934
697	7718.227129
698	7714.156856
699	7710.067692
700	7706.227029
701	7702.219749
702	7698.080379
703	7693.848097
704	7689.988461
705	7686.212751
706	7681.940768
707	7677.62604
708	7673.298205
709	7668.89908
710	7664.710183
711	7660.384341
712	7656.011634
713	7652.133433
714	7648.408149
715	7644.357208
716	7640.00802
717	7636.215884
718	7632.315936
719	7628.338944
720	7624.519065
721	7620.998045
722	7616.606649
723	7612.071552
724	7607.997506
725	7604.067071
726	7600.051641
727	7596.716627
728	7592.694661
729	7588.964377
730	7584.456709
731	7580.377085
732	7576.110904
733	7571.522279
734	7567.314369
735	7563.671691
736	7559.548406
737	7555.310897
738	7551.055759
739	7547.009974
740	7543.279161
741	7539.374361
742	7535.398258
743	7531.616571
744	7527.767574
745	7523.768924
746	7519.617872
747	7515.561684
748	7511.655183
749	7507.482518
750	7503.391283
751	7499.209754
752	7495.391165
753	7491.546868
754	7487.969801
755	7484.110953
756	7480.403636
757	7476.269016
758	7472.515787
759	7468.680954
760	7464.231809
761	7460.353992
762	7456.360857
763	7452.641808
764	7449.001946
765	7444.914474
766	7440.867566
767	7437.291516
768	7433.34613
769	7429.32794
770	7425.797151
771	7421.72172
772	7418.70575
773	7414.478416
774	7410.561047
775	7406.382159
776	7402.048138
777	7398.165373
778	7394.527789
779	7390.1391
780	7386.395336
781	7382.257042
782	7378.53102
783	7374.879534
784	7370.936318
785	7367.44956
786	7363.028779
787	7358.838006
788	7354.603923
789	7350.772688
790	7347.019158
791	7343.644232
792	7339.753433
793	7335.66368
794	7331.915318
795	7328.028288
796	7324.228652
797	7320.698787
798	7317.185033
799	7313.722552
800	7309.614881
801	7305.723021
802	7301.624727
803	7297.482895
804	7293.884606
805	7289.79151
806	7286.214697
807	7282.580976
808	7279.271935
809	7275.618192
810	7271.787297
811	7267.887665
812	7264.619046
813	7261.298902
814	7257.281392
815	7253.751774
816	7250.028004
817	7246.3418
818	7242.308227
819	7238.526722
820	7235.113898
821	7230.86019
822	7226.702466
823	7222.877015
824	7219.390109
825	7215.730277
826	7212.048636
827	7208.277677
828	7204.771983
829	7201.083253
830	7197.302268
831	7193.89829
832	7190.217775
833	7186.6553
834	7182.700673
835	7179.035559
836	7175.730265
837	7171.956567
838	7168.751534
839	7165.052079
840	7161.475217
841	7157.942356
842	7153.908073
843	7150.741103
844	7147.377275
845	7144.141985
846	7140.821498
847	7137.376355
848	7133.826671
849	7130.527665
850	7126.610849
851	7123.088336
852	7119.572662
853	7116.219387
854	7112.561271
855	7108.454935
856	7104.91715
857	7101.825401
858	7098.690767
859	7094.992213
860	7091.491217
861	7088.039024
862	7084.76665
863	7081.156628
864	7077.16851
865	7073.507872
866	7069.53725
867	7066.102936
868	7062.786204
869	7059.004901
870	7055.027794
871	7051.559098
872	7048.034638
873	7044.790577
874	7041.417017
875	7037.893367
876	7034.32251
877	7030.75977
878	7027.523181
879	7023.898368
880	7020.47633
881	7017.19672
882	7013.356568
883	7010.045172
884	7006.371297
885	7002.847697
886	6999.503071
887	6995.979373
888	6992.523434
889	6988.598118
890	6985.537611
891	6982.093162
892	6978.447699
893	6974.717728
894	6971.302322
895	6968.165652
896	6964.560116
897	6960.827865
898	6957.454438
899	6953.782119
900	6950.410369
901	6946.799581
902	6943.416197
903	6940.029935
904	6936.662583
905	6933.483987
906	6930.217931
907	6926.965859
908	6923.294376
909	6919.904433
910	6916.761791
911	6913.23102
912	6910.084374
913	6906.827746
914	6903.720928
915	6900.414981
916	6897.061312
917	6893.887379
918	6890.843863
919	6887.425935
920	6884.019841
921	6880.662329
922	6877.299879
923	6873.62287
924	6869.937905
925	6866.871622
926	6863.407431
927	6860.656732
928	6857.130481
929	6853.554327
930	6850.306389
931	6847.216642
932	6843.880442
933	6840.320906
934	6836.816786
935	6833.58691
936	6830.420823
937	6827.165386
938	6823.948705
939	6821.034559
940	6817.721466
941	6814.783661
942	6811.668096
943	6808.302844
944	6805.027012
945	6802.182564
946	6799.184963
947	6796.149098
948	6793.170233
949	6790.191146
950	6786.706528
951	6783.493293
952	6779.946102
953	6776.800802
954	6773.65684
955	6770.516228
956	6767.174379
957	6764.561234
958	6761.515907
959	6758.37338
960	6754.862023
961	6751.693843
962	6748.428316
963	6745.002517
964	6741.735423
965	6738.630336
966	6735.344682
967	6732.34133
968	6729.130521
969	6725.675865
970	6722.794896
971	6719.922997
972	6716.955523
973	6714.082566
974	6711.091392
975	6708.17185
976	6705.09676
977	6701.603679
978	6698.403193
979	6695.404992
980	6692.426455
981	6689.445807
982	6686.396699
983	6683.560409
984	6680.620403
985	6677.426095
986	6674.293449
987	6670.979183
988	6668.418597
989	6665.449751
990	6662.286133
991	6659.716437
992	6656.574005
993	6653.511532
994	6650.204306
995	6647.327255
996	6644.334997
997	6641.032267
998	6638.273082
999	6635.201088
